At home | [æt] [həʊm] | Дома
At work | [æt] [wɜːk] | На работе
At school | [æt] [skuːl] | В школе
In the park | [ɪn] [ðə] [pɑːk] | В парке
Be | [biː] | Быть
Sure | [ʃʊə] | Уверенный, конечно
Good | [gʊd] | Хорошо, хороший
Rich | [rɪʧ] | Богатый, богатство
Poor | [pʊə] | Бедный, беднота
Lazy | [ˈleɪzi] | Ленивый
Husband | [ˈhʌzbənd] | Муж, супруг
Wife | [waɪf] | Жена
Bad | [bæd] | Плохой, дурной
